劣,劣,劣,1,AAA
助,助,助,1,AAA
努,努,努,1,AAA
励,勵,励,3,ABA
労,勞,劳,5,ABC
効,效,效,4,ABB
劾,劾,劾,1,AAA
勅,勅,勅,1,AAA
勇,勇,勇,1,AAA
勉,勉,勉,1,AAA
動,動,动,2,AAB
勘,勘,勘,1,AAA
務,務,务,2,AAB
勝,勝,胜,2,AAB
募,募,募,1,AAA
勢,勢,势,2,AAB
勤,勤,勤,1,AAA
勧,勸,劝,5,ABC
勲,勳,勋,5,ABC
勺,勺,勺,1,AAA
匁,,,0,ANN
包,包,包,1,AAA
化,化,化,1,AAA
北,北,北,1,AAA
匠,匠,匠,1,AAA
匹,匹,匹,1,AAA
区,區,区,3,ABA
医,醫,医,3,ABA
匿,匿,匿,1,AAA
十,十,十,1,AAA
千,千,千,1,AAA
升,升,升,1,AAA
午,午,午,1,AAA
半,半,半,1,AAA
卑,卑,卑,1,AAA
卒,卒,卒,1,AAA
卓,卓,卓,1,AAA
協,協,协,2,AAB
南,南,南,1,AAA
単,單,单,5,ABC
博,博,博,1,AAA
占,占,占,1,AAA
印,印,印,1,AAA
危,危,危,1,AAA
即,即,即,1,AAA
却,卻,却,3,ABA
卵,卵,卵,1,AAA
卸,卸,卸,1,AAA
厄,厄,厄,1,AAA
厘,厘,厘,1,AAA
厚,厚,厚,1,AAA
原,原,原,1,AAA
厳,嚴,严,5,ABC
去,去,去,1,AAA
参,參,参,3,ABA
又,又,又,1,AAA
及,及,及,1,AAA
友,友,友,1,AAA
双,雙,双,3,ABA
反,反,反,1,AAA
収,収,収,1,AAA
叔,叔,叔,1,AAA
取,取,取,1,AAA
受,受,受,1,AAA
叙,敘,叙,3,ABA
口,口,口,1,AAA
古,古,古,1,AAA
句,句,句,1,AAA
叫,叫,叫,1,AAA
召,召,召,1,AAA
可,可,可,1,AAA
台,台,台,1,AAA
史,史,史,1,AAA
右,右,右,1,AAA
号,號,号,3,ABA
司,司,司,1,AAA
各,各,各,1,AAA
合,合,合,1,AAA
吉,吉,吉,1,AAA
同,同,同,1,AAA
名,名,名,1,AAA
后,后,后,1,AAA
吏,吏,吏,1,AAA
吐,吐,吐,1,AAA
向,向,向,1,AAA
君,君,君,1,AAA
吟,吟,吟,1,AAA
否,否,否,1,AAA
含,含,含,1,AAA
吸,吸,吸,1,AAA
吹,吹,吹,1,AAA
呈,呈,呈,1,AAA
呉,呉,呉,1,AAA
告,告,告,1,AAA
周,周,周,1,AAA
味,味,味,1,AAA
呼,呼,呼,1,AAA
命,命,命,1,AAA
和,和,和,1,AAA
咲,咲,咲,1,AAA
哀,哀,哀,1,AAA
品,品,品,1,AAA
員,員,员,2,AAB
哲,哲,哲,1,AAA
唆,唆,唆,1,AAA
唇,唇,唇,1,AAA
唐,唐,唐,1,AAA
唯,唯,唯,1,AAA
唱,唱,唱,1,AAA
商,商,商,1,AAA
問,問,问,2,AAB
啓,啓,启,2,AAB
善,善,善,1,AAA
喚,喚,唤,2,AAB
喜,喜,喜,1,AAA
喝,喝,喝,4,ABB
喪,喪,丧,2,AAB
喫,喫,吃,2,AAB
営,營,营,5,ABC
嗣,嗣,嗣,1,AAA
嘆,嘆,叹,2,AAB
嘱,囑,嘱,3,ABA
器,器,器,1,AAA
噴,噴,喷,2,AAB
嚇,嚇,吓,2,AAB
囚,囚,囚,1,AAA
四,四,四,1,AAA
回,回,回,1,AAA
因,因,因,1,AAA
団,團,团,5,ABC
困,困,困,1,AAA
囲,圍,围,5,ABC
図,圖,图,5,ABC
固,固,固,1,AAA
国,國,国,3,ABA
圏,圏,圏,1,AAA
園,園,园,2,AAB
土,土,土,1,AAA
圧,壓,压,5,ABC
在,在,在,1,AAA
地,地,地,1,AAA
坂,坂,坂,1,AAA
均,均,均,1,AAA
坊,坊,坊,1,AAA
坑,坑,坑,1,AAA
坪,坪,坪,1,AAA
垂,垂,垂,1,AAA
型,型,型,1,AAA
垣,垣,垣,1,AAA
埋,埋,埋,1,AAA
城,城,城,1,AAA
域,域,域,1,AAA
執,執,执,2,AAB
培,培,培,1,AAA
基,基,基,1,AAA
堀,堀,堀,1,AAA
堂,堂,堂,1,AAA
堅,堅,坚,2,AAB
堕,墮,堕,3,ABA
堤,堤,堤,1,AAA
堪,堪,堪,1,AAA
報,報,报,2,AAB
場,場,场,2,AAB
塀,,,0,ANN
塁,壘,垒,5,ABC
塊,塊,块,2,AAB
塑,塑,塑,1,AAA
塔,塔,塔,1,AAA
塗,塗,涂,2,AAB
塚,塚,冢,2,AAB
塩,鹽,盐,5,ABC
塾,塾,塾,1,AAA
境,境,境,1,AAA
墓,墓,墓,1,AAA
増,增,增,4,ABB
墜,墜,坠,2,AAB
墨,墨,墨,1,AAA
墳,墳,坟,2,AAB
墾,墾,垦,2,AAB
壁,壁,壁,1,AAA
壇,壇,坛,2,AAB
壊,壞,坏,5,ABC
壌,壤,壤,4,ABB
士,士,士,1,AAA
壮,壯,壮,3,ABA
声,聲,声,3,ABA
壱,壹,壹,4,ABB
売,賣,卖,5,ABC
変,變,变,5,ABC
夏,夏,夏,1,AAA
夕,夕,夕,1,AAA
外,外,外,1,AAA
多,多,多,1,AAA
夜,夜,夜,1,AAA
夢,夢,梦,2,AAB
大,大,大,1,AAA
天,天,天,1,AAA
太,太,太,1,AAA
夫,夫,夫,1,AAA
央,央,央,1,AAA
失,失,失,1,AAA
奇,奇,奇,1,AAA
奉,奉,奉,1,AAA
奏,奏,奏,1,AAA
契,契,契,1,AAA
奔,奔,奔,1,AAA
奥,奧,奥,3,ABA
奨,奬,奬,4,ABB
奪,奪,夺,2,AAB
奮,奮,奋,2,AAB
女,女,女,1,AAA
奴,奴,奴,1,AAA
好,好,好,1,AAA
如,如,如,1,AAA
妃,妃,妃,1,AAA
妄,妄,妄,1,AAA
妊,妊,妊,1,AAA
妙,妙,妙,1,AAA
妥,妥,妥,1,AAA
妨,妨,妨,1,AAA
妹,妹,妹,1,AAA
妻,妻,妻,1,AAA
姉,姉,姉,1,AAA
始,始,始,1,AAA
姓,姓,姓,1,AAA
委,委,委,1,AAA
姫,姬,姬,4,ABB
姻,姻,姻,1,AAA
姿,姿,姿,1,AAA
威,威,威,1,AAA
娘,娘,娘,1,AAA
娠,娠,娠,1,AAA
娯,娯,娯,1,AAA
婆,婆,婆,1,AAA
婚,婚,婚,1,AAA
婦,婦,妇,2,AAB
婿,婿,婿,1,AAA
媒,媒,媒,1,AAA
嫁,嫁,嫁,1,AAA
嫌,嫌,嫌,1,AAA
嫡,嫡,嫡,1,AAA
嬢,孃,娘,5,ABC
子,子,子,1,AAA
孔,孔,孔,1,AAA
字,字,字,1,AAA
存,存,存,1,AAA
孝,孝,孝,1,AAA
