且,且,且,1,AAA,"{""Reading"":{""On'yomi"":[""ショ"",""ソ"",""ショウ""],""Kun'yomi"":[""か·つ""],""Nanori"":[""あき"",""かつ""]},""Meaning"":""moreover, also, furthermore"",""Compounds"":[],""Miscellaneous"":[""Number of strokes: 5"",""Taught in grade 8""]}"
世,世,世,1,AAA,"{""Reading"":{""On'yomi"":[""セイ"",""セ"",""ソウ""],""Kun'yomi"":[""よ""],""Nanori"":[""とし"",""ゆ"",""ゆき""]},""Meaning"":""generation, world, society, public"",""Compounds"":[{""compound"":""世界"",""reading"":"" せかい"",""meaning"":""the world, society, the universe""},{""compound"":""世話"",""reading"":"" せわ"",""meaning"":""looking after, help, aid, assistance""},{""compound"":""世紀"",""reading"":"" せいき"",""meaning"":""century""},{""compound"":""世間"",""reading"":"" せけん"",""meaning"":""world, society, people, the public""},{""compound"":""世の中"",""reading"":"" よのなか"",""meaning"":""society, the world, the times""}],""Miscellaneous"":[""Number of strokes: 5"",""Taught in grade 3"",""Frequency: 135""]}"
丘,丘,丘,1,AAA,"{""Reading"":{""On'yomi"":[""キュウ""],""Kun'yomi"":[""おか""],""Nanori"":[""たかし""]},""Meaning"":""hill, knoll"",""Compounds"":[{""compound"":""丘"",""reading"":"" おか"",""meaning"":""hill, height, knoll, rising ground""},{""compound"":""丘陵"",""reading"":"" きゅうりょう"",""meaning"":""hill""}],""Miscellaneous"":[""Number of strokes: 5"",""Taught in grade 8"",""Frequency: 1405""]}"
丙,丙,丙,1,AAA,"{""Reading"":{""On'yomi"":[""ヘイ""],""Kun'yomi"":[""ひのえ""]},""Meaning"":""third class, 3rd, 3rd calendar sign"",""Compounds"":[],""Miscellaneous"":[""Number of strokes: 5"",""Taught in grade 8""]}"
両,兩,两,5,ABC,"{""Reading"":{""On'yomi"":[""リョウ""],""Kun'yomi"":[""てる"",""ふたつ""],""Nanori"":[""もろ""]},""Meaning"":""both, old Japanese coin, counter for carriages (e.g., in a train), two"",""Compounds"":[{""compound"":""両親"",""reading"":"" りょうしん"",""meaning"":""parents, both parents""},{""compound"":""両方"",""reading"":"" りょうほう"",""meaning"":""both, both sides, both parties""},{""compound"":""両替"",""reading"":"" りょうがえ"",""meaning"":""change, money exchange""},{""compound"":""両側"",""reading"":"" りょうがわ"",""meaning"":""both sides""},{""compound"":""両立"",""reading"":"" りょうりつ"",""meaning"":""compatibility, coexistence, standing together""}],""Miscellaneous"":[""Number of strokes: 6"",""Taught in grade 3"",""Frequency: 247""]}"
並,並,並,1,AAA,"{""Reading"":{""On'yomi"":[""ヘイ"",""ホウ""],""Kun'yomi"":[""な·み"",""なみ"",""なら·べる"",""なら·ぶ"",""なら·びに""],""Nanori"":[""なび""]},""Meaning"":""row, and, besides, as well as, line up, rank with, rival, equal"",""Compounds"":[{""compound"":""並ぶ"",""reading"":"" ならぶ"",""meaning"":""to line up, to stand in a line""},{""compound"":""並木"",""reading"":"" なみき"",""meaning"":""roadside tree, row of trees""},{""compound"":""並行"",""reading"":"" へいこう"",""meaning"":""going side-by-side, going abreast""},{""compound"":""並"",""reading"":"" なみ"",""meaning"":""average, medium, common, ordinary""},{""compound"":""並びに"",""reading"":"" ならびに"",""meaning"":""and (also), both ... and, as well as""}],""Miscellaneous"":[""Number of strokes: 8"",""Taught in grade 6"",""Frequency: 599""]}"
中,中,中,1,AAA,"{""Reading"":{""On'yomi"":[""チュウ""],""Kun'yomi"":[""なか"",""うち"",""あた·る""],""Nanori"":[""あたる"",""かなえ""]},""Meaning"":""in, inside, middle, mean, center"",""Compounds"":[{""compound"":""途中"",""reading"":"" とちゅう"",""meaning"":""on the way, en route, halfway""},{""compound"":""中学校"",""reading"":"" ちゅうがっこう"",""meaning"":""junior high school, middle school, lower secondary school""},{""compound"":""背中"",""reading"":"" せなか"",""meaning"":""back (of body)""},{""compound"":""真ん中"",""reading"":"" まんなか"",""meaning"":""middle, centre, center, midpoint, heart""},{""compound"":""中心"",""reading"":"" ちゅうしん"",""meaning"":""center, centre, middle, heart, core, focus, pivot, emphasis, balance""}],""Miscellaneous"":[""Number of strokes: 4"",""Taught in grade 1"",""Frequency: 11""]}"
丸,丸,丸,1,AAA,"{""Reading"":{""On'yomi"":[""ガン""],""Kun'yomi"":[""まる"",""まる·める"",""まる·い""],""Nanori"":[""ま"",""わ"",""わに""]},""Meaning"":""round, full (month), perfection, -ship, pills, make round, roll up, curl up, seduce, explain away"",""Compounds"":[{""compound"":""丸い"",""reading"":"" まるい"",""meaning"":""round, circular, spherical""},{""compound"":""日の丸"",""reading"":"" ひのまる"",""meaning"":""outline of the Sun (esp. represented as a red circle)""},{""compound"":""丸ごと"",""reading"":"" まるごと"",""meaning"":""in its entirety, whole, wholly""},{""compound"":""丸々"",""reading"":"" まるまる"",""meaning"":""plump, rotund, chubby""},{""compound"":""丸める"",""reading"":"" まるめる"",""meaning"":""to make round, to roll up, to curl up""}],""Miscellaneous"":[""Number of strokes: 3"",""Taught in grade 2"",""Frequency: 542""]}"
丹,丹,丹,1,AAA,"{""Reading"":{""On'yomi"":[""タン""],""Kun'yomi"":[""に""],""Nanori"":[""た"",""たみ"",""まこと""]},""Meaning"":""rust-colored, red, red lead, pills, sincerity"",""Compounds"":[],""Miscellaneous"":[""Number of strokes: 4"",""Taught in grade 8"",""Frequency: 1402""]}"
主,主,主,1,AAA,"{""Reading"":{""On'yomi"":[""シュ"",""ス"",""シュウ""],""Kun'yomi"":[""ぬし"",""おも"",""あるじ""],""Nanori"":[""かず"",""ず"",""もん""]},""Meaning"":""lord, chief, master, main thing, principal"",""Compounds"":[{""compound"":""主義"",""reading"":"" しゅぎ"",""meaning"":""doctrine, rule, principle, -ism""},{""compound"":""主張"",""reading"":"" しゅちょう"",""meaning"":""claim, insistence, assertion, advocacy, emphasis, contention, opinion, tenet""},{""compound"":""主婦"",""reading"":"" しゅふ"",""meaning"":""housewife, mistress (of the house), homemaker""},{""compound"":""主要"",""reading"":"" しゅよう"",""meaning"":""chief, main, principal, major""},{""compound"":""主に"",""reading"":"" おもに"",""meaning"":""mainly, primarily""}],""Miscellaneous"":[""Number of strokes: 5"",""Taught in grade 3"",""Frequency: 95""]}"
